Usuario;Jerarquía de influencia:  Ordena del 1 al 5 (5 = mayor impacto) los aspectos donde el anime ha influido más en la cultura pop:  [Música (ej: openings en Spotify Global).];Jerarquía de influencia:  Ordena del 1 al 5 (5 = mayor impacto) los aspectos donde el anime ha influido más en la cultura pop:  [Moda (streetwear, cosplay, estilos kawaii).];Jerarquía de influencia:  Ordena del 1 al 5 (5 = mayor impacto) los aspectos donde el anime ha influido más en la cultura pop:  [Lenguaje (uso de palabras como senpai o otaku).];Jerarquía de influencia:  Ordena del 1 al 5 (5 = mayor impacto) los aspectos donde el anime ha influido más en la cultura pop:  [Cine/series occidentales (ej: Cyberpunk 2077 inspirado en Akira).];Jerarquía de influencia:  Ordena del 1 al 5 (5 = mayor impacto) los aspectos donde el anime ha influido más en la cultura pop:  [Redes sociales (memes, TikTok trends).];Consumo cultural Marca las casillas donde el anime haya influido en tu consumo:  [Ropa/Accesorios anime];Consumo cultural Marca las casillas donde el anime haya influido en tu consumo:  [Videojuegos con estética anime];Consumo cultural Marca las casillas donde el anime haya influido en tu consumo:  [Eventos (convenciones, etc.)];Consumo cultural Marca las casillas donde el anime haya influido en tu consumo:  [Música japonesa (J-pop, etc.)];Relación emocional:  ¿Cómo describirías la conexión entre el anime y tu identidad cultural? ;Impacto histórico: ¿Qué década crees que definió la globalización del anime? 
1;3;1;2;5;4;Frecuentemente;Frecuentemente;Ocasionalmente;Ocasionalmente;Es una influencia moderada (ej: consumo productos, pero no lo priorizo).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
2;1;3;5;2;4;Frecuentemente;Frecuentemente;Ocasionalmente;Ocasionalmente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;1980s (Ej: Dragon Ball, Sailor Moon).
3;3;1;2;4;5;Nunca;Frecuentemente;Ocasionalmente;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
4;4;1;2;3;5;Ocasionalmente;Frecuentemente;Ocasionalmente;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;1980s (Ej: Dragon Ball, Sailor Moon).
5;1;5;3;2;4;Ocasionalmente;Frecuentemente;Frecuentemente;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;2000s (Ej: Naruto, Death Note).
6;2;4;5;3;1;Nunca;Frecuentemente;Nunca;Ocasionalmente;Es una influencia moderada (ej: consumo productos, pero no lo priorizo).;2000s (Ej: Naruto, Death Note).
7;1;2;3;4;5;Nunca;Ocasionalmente;Ocasionalmente;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
8;2;1;3;5;4;Ocasionalmente;Ocasionalmente;Nunca;Frecuentemente;Es una influencia moderada (ej: consumo productos, pero no lo priorizo).;2000s (Ej: Naruto, Death Note).
9;1;2;3;5;4;Ocasionalmente;Frecuentemente;Ocasionalmente;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;1990s (Ej: Pokémon, Evangelion).
10;3;4;1;2;5;Nunca;Frecuentemente;Nunca;Frecuentemente;Es una influencia moderada (ej: consumo productos, pero no lo priorizo).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
11;5;4;1;3;2;Nunca;Frecuentemente;Nunca;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
12;3;1;2;4;5;Frecuentemente;Frecuentemente;Frecuentemente;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
13;1;2;3;4;5;Ocasionalmente;Frecuentemente;Frecuentemente;Ocasionalmente;Es algo superficial (solo entretenimiento sin impacto cultural).;1990s (Ej: Pokémon, Evangelion).
14;4;3;1;5;2;Ocasionalmente;Ocasionalmente;Ocasionalmente;Frecuentemente;Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).;1980s (Ej: Dragon Ball, Sailor Moon).
15;2;3;1;5;4;Ocasionalmente;Frecuentemente;Ocasionalmente;Frecuentemente;Es una influencia moderada (ej: consumo productos, pero no lo priorizo).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
16;2;4;1;5;3;Frecuentemente;Ocasionalmente;Nunca;Ocasionalmente;Es algo superficial (solo entretenimiento sin impacto cultural).;2000s (Ej: Naruto, Death Note).
17;3;1;2;4;5;Ocasionalmente;Frecuentemente;Frecuentemente;Ocasionalmente;Es una influencia moderada (ej: consumo productos, pero no lo priorizo).;1980s (Ej: Dragon Ball, Sailor Moon).
18;5;1;4;3;2;Nunca;Nunca;Nunca;Frecuentemente;Es algo superficial (solo entretenimiento sin impacto cultural).;1980s (Ej: Dragon Ball, Sailor Moon).
19;4;5;1;3;2;Nunca;Frecuentemente;Nunca;Ocasionalmente;Es una influencia moderada (ej: consumo productos, pero no lo priorizo).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
20;1;3;2;4;5;Nunca;Nunca;Ocasionalmente;Ocasionalmente;Es algo superficial (solo entretenimiento sin impacto cultural).;1980s (Ej: Dragon Ball, Sailor Moon).
21;1;5;4;2;3;Nunca;Nunca;Nunca;Nunca;Es algo superficial (solo entretenimiento sin impacto cultural).;1980s (Ej: Dragon Ball, Sailor Moon).
22;2;4;5;1;3;Nunca;Ocasionalmente;Ocasionalmente;Frecuentemente;Es algo superficial (solo entretenimiento sin impacto cultural).;2010s-2020s (Ej: Attack on Titan, Demon Slayer).
23;5;2;1;4;3;Ocasionalmente;Ocasionalmente;Nunca;Ocasionalmente;Es algo superficial (solo entretenimiento sin impacto cultural).;2000s (Ej: Naruto, Death Note).
24;5;2;3;4;1;Ocasionalmente;Ocasionalmente;Nunca;Nunca;Es algo superficial (solo entretenimiento sin impacto cultural).;1980s (Ej: Dragon Ball, Sailor Moon).